county,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,price
Wasatch,Townhouse,3.0,2.5,2747.0,1742.0,2024.0,1349999.0
Salt Lake,Townhouse,3.0,3.5,2178.0,2178.0,1978.0,799000.0
Washington,Single Family,3.0,2.0,1116.0,4356.0,2000.0,175000.0
Utah,Single Family,4.0,3.5,4310.0,9148.0,2023.0,699990.0
Washington,Single Family,3.0,2.0,1352.0,3049.0,1996.0,375000.0
Utah,Townhouse,3.0,2.5,2370.0,1307.0,2024.0,467900.0
Iron,Single Family,3.0,2.0,1610.0,10454.0,2024.0,419999.0
Salt Lake,Townhouse,3.0,2.5,1827.0,436.0,2013.0,474999.0
Weber,Single Family,6.0,3.5,3765.0,15682.0,2008.0,740000.0
Utah,Condo,2.0,1.0,761.0,871.0,1984.0,269999.0
Salt Lake,Single Family,4.0,1.5,4410.0,12197.0,1959.0,1770000.0
Utah,Condo,3.0,2.0,1336.0,nan,2022.0,339900.0
Salt Lake,Single Family,3.0,2.0,1898.0,3920.0,2021.0,564900.0
Weber,Single Family,5.0,2.5,3450.0,21780.0,2024.0,619900.0
Washington,Single Family,3.0,2.0,1643.0,6534.0,2012.0,489900.0
Wasatch,Single Family,4.0,2.0,1660.0,13504.0,1920.0,500000.0
Salt Lake,Single Family,6.0,2.0,4161.0,10454.0,1996.0,925000.0
Washington,Townhouse,3.0,2.5,1459.0,1307.0,2024.0,393900.0
Tooele,Single Family,6.0,3.0,2296.0,7841.0,1997.0,410500.0
Utah,Single Family,4.0,1.0,2077.0,6098.0,1954.0,425000.0
Davis,Single Family,4.0,2.5,1808.0,5663.0,1991.0,460000.0
Washington,Single Family,3.0,2.0,1334.0,6970.0,1973.0,499900.0
Utah,Single Family,6.0,3.0,3128.0,8712.0,1959.0,610000.0
Davis,Single Family,6.0,3.5,3891.0,13504.0,2007.0,875000.0
Wasatch,Single Family,5.0,5.0,5200.0,18731.0,2013.0,2250000.0
Duchesne,Single Family,3.0,1.0,864.0,217800.0,1983.0,255000.0
Utah,Townhouse,3.0,1.5,1768.0,1742.0,2002.0,400000.0
Uintah,Condo,3.0,2.0,1172.0,nan,2008.0,189000.0
Salt Lake,Single Family,3.0,2.0,1603.0,4792.0,1937.0,635000.0
Washington,Single Family,3.0,3.0,1750.0,5663.0,2023.0,535000.0
Salt Lake,Single Family,3.0,2.5,2554.0,2614.0,2002.0,700000.0
Davis,Condo,3.0,2.0,1240.0,436.0,2000.0,280000.0
Utah,Single Family,4.0,1.0,2352.0,6098.0,1981.0,475000.0
Salt Lake,Townhouse,3.0,1.0,821.0,1742.0,1918.0,390000.0
Salt Lake,Single Family,5.0,4.0,4968.0,6534.0,2024.0,970000.0
Salt Lake,Single Family,5.0,3.5,3952.0,10454.0,1964.0,1599000.0
Weber,Single Family,4.0,1.0,1978.0,9583.0,1986.0,450000.0
Salt Lake,Single Family,2.0,1.5,1950.0,7405.0,1983.0,470000.0
Washington,Single Family,3.0,2.0,1222.0,7841.0,1996.0,399900.0
Salt Lake,Single Family,6.0,1.0,2604.0,9148.0,1948.0,725000.0
Davis,Townhouse,2.0,2.0,1840.0,871.0,2015.0,459900.0
Utah,Single Family,3.0,2.5,2558.0,3485.0,2020.0,549900.0
Salt Lake,Single Family,5.0,3.5,3930.0,11326.0,1988.0,899950.0
Utah,Townhouse,3.0,2.5,2402.0,1307.0,2022.0,439000.0
Cache,Single Family,4.0,2.5,2683.0,16988.0,2018.0,599900.0
Utah,Condo,2.0,1.5,976.0,436.0,1970.0,200000.0
Utah,Single Family,5.0,1.0,3427.0,14375.0,1944.0,674900.0
Salt Lake,Single Family,6.0,3.5,3408.0,8712.0,1975.0,725000.0
Salt Lake,Single Family,5.0,3.0,2302.0,8276.0,1973.0,725000.0
Salt Lake,Single Family,3.0,2.0,3194.0,3920.0,2019.0,599900.0
Washington,Single Family,6.0,3.0,2988.0,10454.0,2005.0,645000.0
Summit,Single Family,3.0,1.5,3000.0,12197.0,1980.0,1200000.0
Weber,Single Family,3.0,1.0,1353.0,6098.0,1887.0,275000.0
Salt Lake,Single Family,4.0,2.0,2653.0,4792.0,1956.0,1025000.0
Weber,Single Family,3.0,2.5,1909.0,9583.0,2019.0,509000.0
Cache,Single Family,3.0,2.0,3519.0,23087.0,2014.0,635000.0
Washington,Single Family,4.0,2.5,2025.0,3049.0,2003.0,620000.0
Iron,Townhouse,3.0,2.5,1848.0,5663.0,2010.0,370000.0
Iron,Single Family,3.0,2.5,1848.0,5663.0,2010.0,380000.0
Salt Lake,Single Family,3.0,2.0,1938.0,27878.0,1994.0,765000.0
Salt Lake,Townhouse,2.0,2.5,1508.0,436.0,2002.0,384900.0
Salt Lake,Townhouse,2.0,2.5,1427.0,1307.0,1998.0,385000.0
Washington,Townhouse,2.0,2.0,1031.0,1307.0,1983.0,279000.0
Salt Lake,Single Family,4.0,2.5,3585.0,6098.0,2024.0,687070.0
Uintah,Single Family,4.0,2.0,2003.0,37026.0,1902.0,320000.0
Salt Lake,Single Family,5.0,2.0,1976.0,6970.0,1958.0,510000.0
Utah,Single Family,4.0,2.5,4355.0,10454.0,2024.0,930900.0
Utah,Single Family,4.0,2.5,3189.0,7841.0,2006.0,700000.0
Utah,Single Family,4.0,3.5,2865.0,7405.0,2007.0,534900.0
Washington,Townhouse,3.0,2.5,1475.0,871.0,2015.0,310000.0
Utah,Townhouse,3.0,2.5,1550.0,871.0,2024.0,389000.0
Utah,Townhouse,3.0,2.5,1550.0,871.0,2022.0,389000.0
Weber,Townhouse,3.0,2.5,1895.0,436.0,2023.0,409000.0
Utah,Single Family,3.0,2.0,3848.0,3049.0,2006.0,740000.0
Davis,Townhouse,3.0,1.5,2785.0,1307.0,2024.0,459900.0
Weber,Single Family,3.0,1.5,1636.0,1307.0,2024.0,569500.0
Weber,Single Family,4.0,3.5,2119.0,7841.0,2000.0,499999.0
Salt Lake,Single Family,4.0,3.0,1693.0,10454.0,1997.0,455000.0
Cache,Single Family,6.0,1.5,3532.0,87120.0,1978.0,725000.0
Tooele,Single Family,4.0,3.5,2021.0,10454.0,2001.0,452500.0
